Only in Index 1,Only in Index 2,In Both
Ppp1r8,Rassf3,Gstk1
Pqbp1,Rassf4,Gstm1
Praf2,Rbfox1,Gstm5
Prc1,Rbm12b1,Gstm7
Prdm5,Rbm12b2,Gtf2ird1
Prdx3,Rbm15,Gulp1
Prim1,Rbm38,H1f0
Prima1,Rbm4b,H2-D1
Prkaca,Rbp1,H2-Eb1
Prmt6,Rbp2,H2-K1
Prr13,Rdm1,Hapln1
Prr18,Rec8,Has2os
Prr5,Rell1,Haus8
Prrt1,Rem2,Hba-a1
Prss53,Rest,Hba-a2
Prss57,Retsat,Hbb-bs
Psma7,Rex1bd,Hbb-bt
Psmb10,Rflna,Hck
Psmb3,Rfxank,Hcrtr2
Psme1,Rgcc,Hdac9
Psme3,Rgs20,Heg1
Ptger1,Rhbdl2,Hepacam
Ptprc,Rhoh,Hexb
Ptprh,Rhov,Hexim1
Ptpru,Rimklb,Hexim2
Pus1,Rims3,Hgf
Pwwp3a,Rin2,Hhip
Pxmp2,Riox1,Hip1
Pygl,Rmi2,Hist1h1c
Pygm,Rnaset2a,Hist1h4d
Pygo2,Rnf113a1,Hist2h2aa1
Qdpr,Rnf44,Hist2h2be
Rab31,Rnf5,Hk2
Rab5b,Rnh1,Hlf
Rab8b,Robo3,Hmcn1
Rack1,Rpa3,Hmgb3
Rad54l,Rpl11,Hmgcs1
Rad9a,Rpl12,Hmgn2
Raly,Rpl13,Hmgn5
Rarres1,Rpl17,Hnrnpa0
Rasd2,Rpl19,Hnrnpa1
Rasgrp2,Rpl27a,Hnrnpab
Rasl10b,Rpl32,Homer1
Rbm22,Rpl36a-ps1,Hopx
Rcc1,Rpl5,Hpca
Rcn1,Rpl7,Hpse2
Rcsd1,Rpl7a,Hrh3
